District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000001a1dwvAAA,0,0,0,105,85,85,75,75,85,100,55,75,0,2645
001i000001a1kFfAAI,0,0,0,0,0,0,0,0,25,25,0,0,0,150
001i000001a26sEAAQ,0,0,0,0,0,0,4,4,4,8.5,11,4,0,56
001i000001a2pMaAAI,0,0,0,0,0,0,0,0,0,0,50,0,0,150
001i000001a2pzLAAQ,0,0,0,40,40,40,40,40,40,40,40,40,0,1280
001i000001a3bWGAAY,0,0,0,0,0,0,0,0,4,0,0,0,0,4
001i000001a3VoVAAU,0,0,0,0,0,0,16,14.66666667,0,0,0,0,0,108
001i000001a46kmAAA,0,0,0,0,0,0,0,0,40,25,30,0,0,285
001i000001ADGxHAAX,0,0,0,0,75,65,75,65,0,0,0,0,0,1055
001i000001agfMuAAI,0,0,0,0,0,25,25,0,0,0,0,0,0,50
001i000001agKREAA2,0,0,0,25,25,25,25,25,25,25,25,25,0,625
001i000001aglCnAAI,0,0,0,0,0,60,0,0,0,0,0,0,0,240
001i000001ai5avAAA,0,0,0,50,50,50,50,50,50,50,50,50,0,1600
001i000001ai68EAAQ,0,0,0,90,90,90,120,0,0,0,0,90,0,1920
001i000001aiuvhAAA,0,0,0,0,0,0,0,0,35,0,0,0,0,105
001i000001ajRLvAAM,0,0,0,30,30,30,30,30,30,30,30,30,0,960
001i000001Am3L4AAJ,0,0,0,50,50,50,50,50,50,30,30,50,0,1480
001i000001AmjQIAAZ,0,0,0,395,450,450,420,420,0,0,0,425,0,9820
001i000001ApLwpAAF,0,0,0,50,50,50,60,60,30,30,30,50,0,1490
001i000001ApLwqAAF,0,0,0,560,709.5,962.5,1053,924.3333333,340,247,196,500,0,20262
001i000001axEMUAA2,0,0,0,50,75,75,60,60,50,50,50,50,0,1870
001i000001axk53AAA,0,0,0,0,0,0,0,0,0,0,0,1,0,4
001i000001axkizAAA,0,0,0,0,0,0,0,0,50,50,50,0,0,450
001i000001ayKx8AAE,0,0,0,22,22,29,23,20,0,0,0,22,0,532
001i000001ayPIxAAM,20,20,0,30,30,30,30,30,30,30,30,30,0,1040
001i000001azhTaAAI,0,0,0,0,0,91,121,61,61,61,61,0,0,1580
001i000001azt3vAAA,0,0,0,0,40,0,0,0,0,0,0,0,0,160
